<BEGIN> Circle(10, 4, 4); BLACK <END>
<BEGIN> Circle(9, 18, 16); BLUE <END>
<BEGIN> Circle(16, 7, 13); RED <END>
<BEGIN> Circle(4, 9, 15); GREEN <END>
<BEGIN> Circle(2, 11, 2); BLACK <END>
<BEGIN> Circle(5, 10, 9); GREEN <END>
<BEGIN> Circle(18, 14, 16); GREEN <END>
<BEGIN> Circle(2, 4, 19); RED <END>
<BEGIN> Circle(18, 18, 7); GREEN <END>
<BEGIN> Circle(15, 7, 11); RED <END>
<BEGIN> Circle(1, 18, 17); GREEN <END>
<BEGIN> Circle(10, 1, 13); BLACK <END>
<BEGIN> Circle(2, 5, 18); BLUE <END>
<BEGIN> Circle(12, 13, 11); BLACK <END>
<BEGIN> Circle(7, 19, 6); BLACK <END>
<BEGIN> Circle(10, 13, 10); BLACK <END>
<BEGIN> Circle(12, 14, 7); GREEN <END>
<BEGIN> Circle(14, 14, 12); PURPLE <END>
<BEGIN> Circle(10, 0, 11); PURPLE <END>
<BEGIN> Circle(15, 14, 16); BLUE <END>
<BEGIN> Circle(7, 19, 6); GREEN <END>
<BEGIN> Circle(10, 6, 8); BLUE <END>
<BEGIN> Circle(6, 1, 15); GREEN <END>
<BEGIN> Circle(18, 10, 13); RED <END>
<BEGIN> Circle(3, 13, 6); GREEN <END>
<BEGIN> Circle(11, 11, 5); GREEN <END>
<BEGIN> Circle(10, 10, 5); BLUE <END>
<BEGIN> Circle(18, 1, 9); PURPLE <END>
<BEGIN> Circle(16, 2, 16); BLUE <END>
<BEGIN> Circle(15, 18, 15); BLUE <END>
<BEGIN> Circle(12, 1, 5); GREEN <END>
<BEGIN> Circle(3, 13, 6); BLUE <END>
<BEGIN> Circle(0, 6, 19); GREEN <END>
<BEGIN> Circle(6, 2, 8); BLACK <END>
<BEGIN> Circle(3, 12, 0); PURPLE <END>
<BEGIN> Circle(10, 0, 4); GREEN <END>
<BEGIN> Circle(1, 9, 5); BLACK <END>
<BEGIN> Circle(12, 3, 2); BLUE <END>
<BEGIN> Circle(19, 7, 16); PURPLE <END>
<BEGIN> Circle(15, 4, 19); RED <END>
<BEGIN> Circle(8, 9, 16); BLUE <END>
<BEGIN> Circle(0, 12, 1); RED <END>
<BEGIN> Circle(4, 7, 17); BLACK <END>
<BEGIN> Circle(0, 18, 6); PURPLE <END>
<BEGIN> Circle(2, 3, 5); GREEN <END>
<BEGIN> Circle(2, 3, 13); BLACK <END>
<BEGIN> Circle(12, 8, 0); GREEN <END>
<BEGIN> Circle(11, 7, 7); RED <END>
<BEGIN> Circle(14, 3, 12); PURPLE <END>
<BEGIN> Circle(19, 17, 5); BLUE <END>
<BEGIN> Circle(11, 6, 16); PURPLE <END>
<BEGIN> Circle(16, 3, 15); PURPLE <END>
<BEGIN> Circle(12, 8, 6); BLACK <END>
<BEGIN> Circle(1, 13, 2); PURPLE <END>
<BEGIN> Circle(14, 14, 2); PURPLE <END>
<BEGIN> Circle(16, 10, 12); RED <END>
<BEGIN> Circle(6, 16, 14); RED <END>
<BEGIN> Circle(17, 2, 19); BLUE <END>
<BEGIN> Circle(16, 13, 4); GREEN <END>
<BEGIN> Circle(13, 0, 3); GREEN <END>
<BEGIN> Circle(16, 19, 2); PURPLE <END>
<BEGIN> Circle(12, 16, 8); BLUE <END>
<BEGIN> Circle(2, 17, 18); PURPLE <END>
<BEGIN> Circle(1, 17, 0); BLACK <END>
<BEGIN> Circle(13, 15, 17); GREEN <END>
<BEGIN> Circle(0, 10, 5); BLACK <END>
<BEGIN> Circle(4, 1, 19); BLUE <END>
<BEGIN> Circle(14, 18, 18); BLACK <END>
<BEGIN> Circle(17, 15, 15); RED <END>
<BEGIN> Circle(18, 5, 6); BLACK <END>
<BEGIN> Circle(18, 3, 4); GREEN <END>
<BEGIN> Circle(5, 18, 18); RED <END>
<BEGIN> Circle(4, 5, 12); BLUE <END>
<BEGIN> Circle(19, 13, 10); RED <END>
<BEGIN> Circle(9, 6, 14); BLACK <END>
<BEGIN> Circle(9, 16, 14); BLUE <END>
<BEGIN> Circle(10, 5, 2); RED <END>
<BEGIN> Circle(6, 16, 10); RED <END>
<BEGIN> Circle(3, 2, 13); BLACK <END>
<BEGIN> Circle(9, 16, 9); PURPLE <END>
<BEGIN> Circle(3, 8, 15); GREEN <END>
<BEGIN> Circle(4, 0, 7); RED <END>
<BEGIN> Circle(12, 5, 17); RED <END>
<BEGIN> Circle(7, 12, 11); BLUE <END>
<BEGIN> Circle(7, 6, 12); PURPLE <END>
<BEGIN> Circle(12, 18, 19); BLUE <END>
<BEGIN> Circle(16, 1, 16); BLACK <END>
<BEGIN> Line(6, 14, 8, 14); Line(8, 14, 8, 12); Line(8, 12, 6, 12); Line(6, 12, 6, 14); BLACK <END>
<BEGIN> Line(5, 14, 11, 14); Line(11, 14, 11, 8); Line(11, 8, 5, 8); Line(5, 8, 5, 14); RED <END>
<BEGIN> Line(7, 17, 12, 17); Line(12, 17, 12, 16); Line(12, 16, 7, 16); Line(7, 16, 7, 17); BLACK <END>
<BEGIN> Line(5, 15, 12, 15); Line(12, 15, 12, 10); Line(12, 10, 5, 10); Line(5, 10, 5, 15); RED <END>
<BEGIN> Line(7, 19, 12, 19); Line(12, 19, 12, 15); Line(12, 15, 7, 15); Line(7, 15, 7, 19); BLACK <END>
<BEGIN> Line(9, 18, 17, 18); Line(17, 18, 17, 15); Line(17, 15, 9, 15); Line(9, 15, 9, 18); BLUE <END>
<BEGIN> Line(9, 18, 12, 18); Line(12, 18, 12, 14); Line(12, 14, 9, 14); Line(9, 14, 9, 18); BLACK <END>
<BEGIN> Line(1, 16, 4, 16); Line(4, 16, 4, 8); Line(4, 8, 1, 8); Line(1, 8, 1, 16); RED <END>
<BEGIN> Line(3, 15, 12, 15); Line(12, 15, 12, 6); Line(12, 6, 3, 6); Line(3, 6, 3, 15); BLACK <END>
<BEGIN> Line(8, 13, 11, 13); Line(11, 13, 11, 5); Line(11, 5, 8, 5); Line(8, 5, 8, 13); BLACK <END>
<BEGIN> Line(1, 18, 1, 18); Line(1, 18, 1, 15); Line(1, 15, 1, 15); Line(1, 15, 1, 18); RED <END>
<BEGIN> Line(4, 12, 10, 12); Line(10, 12, 10, 9); Line(10, 9, 4, 9); Line(4, 9, 4, 12); GREEN <END>
<BEGIN> Line(9, 15, 18, 15); Line(18, 15, 18, 10); Line(18, 10, 9, 10); Line(9, 10, 9, 15); RED <END>
<BEGIN> Line(9, 18, 18, 18); Line(18, 18, 18, 11); Line(18, 11, 9, 11); Line(9, 11, 9, 18); RED <END>
<BEGIN> Line(1, 17, 11, 17); Line(11, 17, 11, 17); Line(11, 17, 1, 17); Line(1, 17, 1, 17); GREEN <END>
<BEGIN> Line(4, 17, 6, 17); Line(6, 17, 6, 16); Line(6, 16, 4, 16); Line(4, 16, 4, 17); RED <END>
<BEGIN> Line(7, 16, 17, 16); Line(17, 16, 17, 7); Line(17, 7, 7, 7); Line(7, 7, 7, 16); BLACK <END>
<BEGIN> Line(8, 12, 10, 12); Line(10, 12, 10, 9); Line(10, 9, 8, 9); Line(8, 9, 8, 12); RED <END>
<BEGIN> Line(5, 12, 8, 12); Line(8, 12, 8, 2); Line(8, 2, 5, 2); Line(5, 2, 5, 12); RED <END>
<BEGIN> Line(4, 10, 6, 10); Line(6, 10, 6, 4); Line(6, 4, 4, 4); Line(4, 4, 4, 10); BLUE <END>
<BEGIN> Line(8, 11, 10, 11); Line(10, 11, 10, 4); Line(10, 4, 8, 4); Line(8, 4, 8, 11); BLACK <END>
<BEGIN> Line(7, 14, 13, 14); Line(13, 14, 13, 8); Line(13, 8, 7, 8); Line(7, 8, 7, 14); RED <END>
<BEGIN> Line(7, 14, 8, 14); Line(8, 14, 8, 10); Line(8, 10, 7, 10); Line(7, 10, 7, 14); GREEN <END>
<BEGIN> Line(1, 18, 10, 18); Line(10, 18, 10, 17); Line(10, 17, 1, 17); Line(1, 17, 1, 18); RED <END>
<BEGIN> Line(9, 17, 12, 17); Line(12, 17, 12, 17); Line(12, 17, 9, 17); Line(9, 17, 9, 17); BLACK <END>
<BEGIN> Line(0, 18, 5, 18); Line(5, 18, 5, 15); Line(5, 15, 0, 15); Line(0, 15, 0, 18); RED <END>
<BEGIN> Line(9, 13, 14, 13); Line(14, 13, 14, 8); Line(14, 8, 9, 8); Line(9, 8, 9, 13); PURPLE <END>
<BEGIN> Line(5, 15, 11, 15); Line(11, 15, 11, 10); Line(11, 10, 5, 10); Line(5, 10, 5, 15); PURPLE <END>
<BEGIN> Line(9, 10, 12, 10); Line(12, 10, 12, 3); Line(12, 3, 9, 3); Line(9, 3, 9, 10); GREEN <END>
<BEGIN> Line(1, 19, 7, 19); Line(7, 19, 7, 12); Line(7, 12, 1, 12); Line(1, 12, 1, 19); GREEN <END>
<BEGIN> Line(5, 12, 11, 12); Line(11, 12, 11, 6); Line(11, 6, 5, 6); Line(5, 6, 5, 12); GREEN <END>
<BEGIN> Line(2, 19, 8, 19); Line(8, 19, 8, 13); Line(8, 13, 2, 13); Line(2, 13, 2, 19); RED <END>
<BEGIN> Line(5, 18, 10, 18); Line(10, 18, 10, 11); Line(10, 11, 5, 11); Line(5, 11, 5, 18); PURPLE <END>
<BEGIN> Line(1, 10, 7, 10); Line(7, 10, 7, 6); Line(7, 6, 1, 6); Line(1, 6, 1, 10); PURPLE <END>
<BEGIN> Line(2, 12, 10, 12); Line(10, 12, 10, 3); Line(10, 3, 2, 3); Line(2, 3, 2, 12); PURPLE <END>
<BEGIN> Line(8, 13, 11, 13); Line(11, 13, 11, 10); Line(11, 10, 8, 10); Line(8, 10, 8, 13); PURPLE <END>
<BEGIN> Line(5, 16, 14, 16); Line(14, 16, 14, 16); Line(14, 16, 5, 16); Line(5, 16, 5, 16); PURPLE <END>
<BEGIN> Line(9, 17, 19, 17); Line(19, 17, 19, 11); Line(19, 11, 9, 11); Line(9, 11, 9, 17); PURPLE <END>
<BEGIN> Line(8, 13, 15, 13); Line(15, 13, 15, 6); Line(15, 6, 8, 6); Line(8, 6, 8, 13); PURPLE <END>
<BEGIN> Line(1, 17, 7, 17); Line(7, 17, 7, 9); Line(7, 9, 1, 9); Line(1, 9, 1, 17); BLACK <END>
<BEGIN> Line(2, 11, 10, 11); Line(10, 11, 10, 7); Line(10, 7, 2, 7); Line(2, 7, 2, 11); PURPLE <END>
<BEGIN> Line(3, 14, 11, 14); Line(11, 14, 11, 12); Line(11, 12, 3, 12); Line(3, 12, 3, 14); GREEN <END>
<BEGIN> Line(6, 16, 6, 16); Line(6, 16, 6, 13); Line(6, 13, 6, 13); Line(6, 13, 6, 16); BLUE <END>
<BEGIN> Line(7, 15, 16, 15); Line(16, 15, 16, 12); Line(16, 12, 7, 12); Line(7, 12, 7, 15); BLACK <END>
<BEGIN> Line(0, 17, 0, 17); Line(0, 17, 0, 16); Line(0, 16, 0, 16); Line(0, 16, 0, 17); RED <END>
<BEGIN> Line(5, 12, 9, 12); Line(9, 12, 9, 8); Line(9, 8, 5, 8); Line(5, 8, 5, 12); RED <END>
<BEGIN> Line(9, 14, 15, 14); Line(15, 14, 15, 6); Line(15, 6, 9, 6); Line(9, 6, 9, 14); RED <END>
<BEGIN> Line(1, 15, 6, 15); Line(6, 15, 6, 7); Line(6, 7, 1, 7); Line(1, 7, 1, 15); RED <END>
<BEGIN> Line(4, 19, 9, 19); Line(9, 19, 9, 14); Line(9, 14, 4, 14); Line(4, 14, 4, 19); GREEN <END>
<BEGIN> Line(4, 18, 13, 18); Line(13, 18, 13, 17); Line(13, 17, 4, 17); Line(4, 17, 4, 18); PURPLE <END>
<BEGIN> Line(7, 17, 9, 17); Line(9, 17, 9, 11); Line(9, 11, 7, 11); Line(7, 11, 7, 17); RED <END>
<BEGIN> Line(7, 11, 11, 11); Line(11, 11, 11, 4); Line(11, 4, 7, 4); Line(7, 4, 7, 11); BLACK <END>
<BEGIN> Line(9, 19, 11, 19); Line(11, 19, 11, 14); Line(11, 14, 9, 14); Line(9, 14, 9, 19); GREEN <END>
<BEGIN> Line(4, 13, 8, 13); Line(8, 13, 8, 11); Line(8, 11, 4, 11); Line(4, 11, 4, 13); RED <END>
<BEGIN> Line(8, 15, 16, 15); Line(16, 15, 16, 12); Line(16, 12, 8, 12); Line(8, 12, 8, 15); GREEN <END>
<BEGIN> Line(6, 18, 7, 18); Line(7, 18, 7, 17); Line(7, 17, 6, 17); Line(6, 17, 6, 18); RED <END>
<BEGIN> Line(4, 13, 11, 13); Line(11, 13, 11, 9); Line(11, 9, 4, 9); Line(4, 9, 4, 13); RED <END>
<BEGIN> Line(4, 12, 7, 12); Line(7, 12, 7, 2); Line(7, 2, 4, 2); Line(4, 2, 4, 12); PURPLE <END>
<BEGIN> Line(3, 16, 6, 16); Line(6, 16, 6, 13); Line(6, 13, 3, 13); Line(3, 13, 3, 16); GREEN <END>
<BEGIN> Line(6, 12, 13, 12); Line(13, 12, 13, 10); Line(13, 10, 6, 10); Line(6, 10, 6, 12); PURPLE <END>
<BEGIN> Line(3, 10, 10, 10); Line(10, 10, 10, 7); Line(10, 7, 3, 7); Line(3, 7, 3, 10); PURPLE <END>
<BEGIN> Line(4, 18, 8, 18); Line(8, 18, 8, 17); Line(8, 17, 4, 17); Line(4, 17, 4, 18); RED <END>
<BEGIN> Line(7, 15, 13, 15); Line(13, 15, 13, 6); Line(13, 6, 7, 6); Line(7, 6, 7, 15); BLUE <END>
<BEGIN> Line(2, 19, 4, 19); Line(4, 19, 4, 18); Line(4, 18, 2, 18); Line(2, 18, 2, 19); BLACK <END>
<BEGIN> Line(3, 19, 8, 19); Line(8, 19, 8, 11); Line(8, 11, 3, 11); Line(3, 11, 3, 19); PURPLE <END>
<BEGIN> Line(2, 10, 7, 10); Line(7, 10, 7, 4); Line(7, 4, 2, 4); Line(2, 4, 2, 10); BLUE <END>
<BEGIN> Line(1, 19, 8, 19); Line(8, 19, 8, 18); Line(8, 18, 1, 18); Line(1, 18, 1, 19); BLUE <END>
<BEGIN> Line(5, 10, 9, 10); Line(9, 10, 9, 3); Line(9, 3, 5, 3); Line(5, 3, 5, 10); GREEN <END>
<BEGIN> Line(0, 13, 1, 13); Line(1, 13, 1, 12); Line(1, 12, 0, 12); Line(0, 12, 0, 13); GREEN <END>
<BEGIN> Line(6, 12, 12, 12); Line(12, 12, 12, 6); Line(12, 6, 6, 6); Line(6, 6, 6, 12); PURPLE <END>
<BEGIN> Line(7, 17, 14, 17); Line(14, 17, 14, 12); Line(14, 12, 7, 12); Line(7, 12, 7, 17); BLACK <END>
<BEGIN> Line(3, 19, 6, 19); Line(6, 19, 6, 11); Line(6, 11, 3, 11); Line(3, 11, 3, 19); RED <END>
<BEGIN> Line(6, 15, 8, 15); Line(8, 15, 8, 5); Line(8, 5, 6, 5); Line(6, 5, 6, 15); PURPLE <END>
<BEGIN> Line(1, 12, 7, 12); Line(7, 12, 7, 8); Line(7, 8, 1, 8); Line(1, 8, 1, 12); RED <END>
<BEGIN> Line(1, 17, 11, 17); Line(11, 17, 11, 11); Line(11, 11, 1, 11); Line(1, 11, 1, 17); RED <END>
<BEGIN> Line(1, 19, 9, 19); Line(9, 19, 9, 11); Line(9, 11, 1, 11); Line(1, 11, 1, 19); BLUE <END>
<BEGIN> Line(9, 18, 18, 18); Line(18, 18, 18, 8); Line(18, 8, 9, 8); Line(9, 8, 9, 18); RED <END>
<BEGIN> Line(8, 17, 16, 17); Line(16, 17, 16, 8); Line(16, 8, 8, 8); Line(8, 8, 8, 17); BLUE <END>
<BEGIN> Line(7, 12, 16, 12); Line(16, 12, 16, 12); Line(16, 12, 7, 12); Line(7, 12, 7, 12); GREEN <END>
<BEGIN> Line(6, 11, 10, 11); Line(10, 11, 10, 8); Line(10, 8, 6, 8); Line(6, 8, 6, 11); BLUE <END>
<BEGIN> Line(7, 13, 16, 13); Line(16, 13, 16, 9); Line(16, 9, 7, 9); Line(7, 9, 7, 13); PURPLE <END>
<BEGIN> Line(6, 18, 15, 18); Line(15, 18, 15, 13); Line(15, 13, 6, 13); Line(6, 13, 6, 18); BLACK <END>
<BEGIN> Line(2, 19, 11, 19); Line(11, 19, 11, 10); Line(11, 10, 2, 10); Line(2, 10, 2, 19); BLUE <END>
<BEGIN> Line(5, 16, 9, 16); Line(9, 16, 9, 11); Line(9, 11, 5, 11); Line(5, 11, 5, 16); PURPLE <END>
<BEGIN> Line(1, 16, 6, 16); Line(6, 16, 6, 14); Line(6, 14, 1, 14); Line(1, 14, 1, 16); RED <END>
<BEGIN> Line(3, 13, 5, 13); Line(5, 13, 5, 3); Line(5, 3, 3, 3); Line(3, 3, 3, 13); BLACK <END>
<BEGIN> Line(8, 12, 11, 12); Line(11, 12, 11, 2); Line(11, 2, 8, 2); Line(8, 2, 8, 12); PURPLE <END>
<BEGIN> Line(6, 17, 13, 17); Line(13, 17, 13, 12); Line(13, 12, 6, 12); Line(6, 12, 6, 17); BLUE <END>
<BEGIN> Line(6, 18, 15, 18); Line(15, 18, 15, 14); Line(15, 14, 6, 14); Line(6, 14, 6, 18); BLACK <END>
<BEGIN> Line(4, 15, 13, 15); Line(13, 15, 13, 14); Line(13, 14, 4, 14); Line(4, 14, 4, 15); BLACK <END>
<BEGIN> Line(2, 10, 8, 10); Line(8, 10, 8, 4); Line(8, 4, 2, 4); Line(2, 4, 2, 10); RED <END>
<BEGIN> Line(2, 15, 4, 15); Line(4, 15, 4, 9); Line(4, 9, 2, 9); Line(2, 9, 2, 15); GREEN <END>
<BEGIN> Line(0, 14, 0, 14); Line(0, 14, 0, 6); Line(0, 6, 0, 6); Line(0, 6, 0, 14); GREEN <END>
<BEGIN> Line(8, 11, 11, 11); Line(11, 11, 11, 6); Line(11, 6, 8, 6); Line(8, 6, 8, 11); BLUE <END>
<BEGIN> Line(3, 17, 10, 17); Line(10, 17, 10, 9); Line(10, 9, 3, 9); Line(3, 9, 3, 17); RED <END>
<BEGIN> Line(7, 11, 12, 11); Line(12, 11, 12, 7); Line(12, 7, 7, 7); Line(7, 7, 7, 11); BLACK <END>
<BEGIN> Line(4, 18, 7, 18); Line(7, 18, 7, 16); Line(7, 16, 4, 16); Line(4, 16, 4, 18); BLUE <END>
<BEGIN> Line(2, 13, 5, 13); Line(5, 13, 5, 10); Line(5, 10, 2, 10); Line(2, 10, 2, 13); BLUE <END>
<BEGIN> Line(1, 13, 11, 13); Line(11, 13, 11, 12); Line(11, 12, 1, 12); Line(1, 12, 1, 13); BLUE <END>
<BEGIN> Line(7, 11, 16, 11); Line(16, 11, 16, 6); Line(16, 6, 7, 6); Line(7, 6, 7, 11); BLACK <END>
<BEGIN> Line(0, 14, 7, 14); Line(7, 14, 7, 5); Line(7, 5, 0, 5); Line(0, 5, 0, 14); GREEN <END>
<BEGIN> Line(9, 15, 18, 15); Line(18, 15, 18, 14); Line(18, 14, 9, 14); Line(9, 14, 9, 15); BLACK <END>
<BEGIN> Line(0, 11, 10, 11); Line(10, 11, 10, 4); Line(10, 4, 0, 4); Line(0, 4, 0, 11); RED <END>
<BEGIN> Line(7, 19, 15, 19); Line(15, 19, 15, 12); Line(15, 12, 7, 12); Line(7, 12, 7, 19); PURPLE <END>
<BEGIN> Line(9, 16, 13, 16); Line(13, 16, 13, 15); Line(13, 15, 9, 15); Line(9, 15, 9, 16); PURPLE <END>
<BEGIN> Line(3, 16, 7, 16); Line(7, 16, 7, 10); Line(7, 10, 3, 10); Line(3, 10, 3, 16); BLUE <END>
<BEGIN> Line(8, 12, 8, 12); Line(8, 12, 8, 11); Line(8, 11, 8, 11); Line(8, 11, 8, 12); GREEN <END>
<BEGIN> Line(8, 15, 17, 15); Line(17, 15, 17, 9); Line(17, 9, 8, 9); Line(8, 9, 8, 15); PURPLE <END>
<BEGIN> Line(6, 12, 7, 12); Line(7, 12, 7, 10); Line(7, 10, 6, 10); Line(6, 10, 6, 12); PURPLE <END>
<BEGIN> Line(1, 13, 11, 13); Line(11, 13, 11, 5); Line(11, 5, 1, 5); Line(1, 5, 1, 13); BLUE <END>
<BEGIN> Line(9, 17, 12, 17); Line(12, 17, 12, 8); Line(12, 8, 9, 8); Line(9, 8, 9, 17); BLACK <END>
<BEGIN> Line(8, 15, 12, 15); Line(12, 15, 12, 12); Line(12, 12, 8, 12); Line(8, 12, 8, 15); PURPLE <END>
<BEGIN> Line(6, 15, 7, 15); Line(7, 15, 7, 13); Line(7, 13, 6, 13); Line(6, 13, 6, 15); RED <END>
<BEGIN> Line(0, 17, 5, 17); Line(5, 17, 5, 10); Line(5, 10, 0, 10); Line(0, 10, 0, 17); GREEN <END>
<BEGIN> Line(6, 18, 15, 18); Line(15, 18, 15, 15); Line(15, 15, 6, 15); Line(6, 15, 6, 18); GREEN <END>
<BEGIN> Line(1, 10, 4, 10); Line(4, 10, 4, 9); Line(4, 9, 1, 9); Line(1, 9, 1, 10); BLACK <END>
<BEGIN> Line(0, 19, 6, 19); Line(6, 19, 6, 19); Line(6, 19, 0, 19); Line(0, 19, 0, 19); PURPLE <END>
<BEGIN> Line(0, 14, 4, 14); Line(4, 14, 4, 6); Line(4, 6, 0, 6); Line(0, 6, 0, 14); GREEN <END>
<BEGIN> Line(6, 19, 12, 19); Line(12, 19, 12, 14); Line(12, 14, 6, 14); Line(6, 14, 6, 19); GREEN <END>
<BEGIN> Line(3, 13, 7, 13); Line(7, 13, 7, 8); Line(7, 8, 3, 8); Line(3, 8, 3, 13); PURPLE <END>
<BEGIN> Line(5, 13, 11, 13); Line(11, 13, 11, 12); Line(11, 12, 5, 12); Line(5, 12, 5, 13); BLUE <END>
